PlotSummaryID ,MovieorTVID,AuthorFirst Name,AuthorLast Name,Description
1,1,Andrea,Arnold,John McClane officer of the NYPD tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.
2,2,Lone,Scherfig,Loki the stepbrother of Thor teams-up with the Chitauri Army and uses the Tesseract power to travel from Asgard to Earth to plot the invasion of Earth by the Chitauri and become the king of Earth. 
3,3,Claire,Denis, The director of the agency S.H.I.E.L.D. Nick Fury sets in motion the project The Avengers joining Tony Stark a.k.a. the Iron Man; Steve Rogers a.k.a. Captain America; Bruce Banner a.k.a. The Hulk; Thor; Natasha Romanoff a.k.a. Black Widow; 
4,4,Jessica,Hausner,S.H.I.E.L.D. has located the mysterious Tesseract device and the Army's super soldier Captain America. 
5,5,Catherine,Corsini,The Tesseract is actually a gateway to an entirely new world called Asgard. A mysterious being known as Loki arrives on earth and immediately assumes that he can rule all human beings. But that irks S.H.I.E.L.D. director Nick Fury the wrong way. As Loki escapes with the Tesseract
6,6,Claudia,Llosa, Nick Fury believes this is an act of war against Earth. His only hope is to assemble an actual team of super heroes. Dr. Bruce Banner who turns into an enormous green rage monster known as the Hulk. Tony Stark and his venerable Iron Man armor
7,7,Athina,Rachel,Captain America the Stark Enterprises created super soldier. Thor the god of thunder protector of Earth and his home planet of Asgard and Loki's brother. Master assassins Hawkeye and Natasha Romanoff.
8,8,Debra,Granik,When the mysterious and unpredictable power source called the Tesseract is stolen by Loki from S.H.I.E.L.D. agents to rule the entire world the Avengers have to unite and stop Loki and his infinite wrath
9,9,Lisa,Cholodenko,The S.H.I.E.L.D. head named Nick Fury tries to gather these mighty heroes and prepares them for a mighty battle.
10,10,Icíar,Bollaín,When Loki returns and threatens to steal the Tesseract and use it to take over the world Nick Fury must form a team of elite agents and superheros 
11,11,Lynne,Ramsay,featuring Iron Man Captain America Thor the Hulk Agent Natasha Romanoff and Agent Barton - to save New York.
12,12,Agnieszka,Holland,searing and intimate portrait of one of the most important and tragic moments in American history seen through the eyes of the iconic First Lady then Jacqueline Bouvier Kennedy
13,13,Valérie,Donzelli," Known for her extraordinary dignity and poise here we see a psychological portrait of the First Lady as she struggles to maintain her husband's legacy and the world of ""Camelot"" that they created and loved so well."
14,3,Sarah,Polley,Portrait of a woman Jacqueline Bouvier Kennedy the first lady of the united States and how she coped with the loss of her husband and the weight of his legacy on her shoulders. 
15,4,Kathryn,Bigelow,tells the story of one history's most poised and delegated women and her struggle to keep the empire alive.
16,5,Lana,Wachowski,Following the assassination of President John F. Kennedy First Lady Jacqueline Kennedyfights through grief and trauma to regain her faith console her children and define her husband's historic legacy.
17,6,Brenda,Chapman,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.
18,7,Ursula,Meier,Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank 
19,8,Deniz,Gamze,"When his brother is killed in a robbery paraplegic Marine Jake Sully decides to take his place in a mission on the distant world of Pandora. There he learns of greedy corporate figurehead Parker Selfridge's intentions of driving off the native humanoid ""Na'vi"" in order to mine for the precious material scattered throughout their rich woodland. In exchange for the spinal surgery that will fix his legs"
20,13,Jafar,Panahi,"Jake gathers intel for the cooperating military unit spearheaded by gung-ho Colonel Quaritch while simultaneously attempting to infiltrate the Na'vi people with the use of an ""avatar"" identity."
21,14,Terry,Gilliam,While Jake begins to bond with the native tribe and quickly falls in love with the beautiful alien Neytiri the restless Colonel moves forward with his ruthless extermination tactics forcing the soldier to take a stand - and fight back in an epic battle for the fate of Pandora
22,22,Brian,De,A cryptic message from the past sends James Bond on a rogue mission to Mexico City and eventually Rome where he meets Lucia the beautiful and forbidden widow of an infamous criminal.
23,23,Werner,Herzog,Bond infiltrates a secret meeting and uncovers the existence of the sinister organisation known as SPECTRE.
24,24,Mel,Gibson,Meanwhile back in London Max Denbigh the new head of the Centre of National Security questions Bond's actions and challenges the relevance of MI6
25,25,Rainer,Werner,ed by M. Bond covertly enlists Moneypenny and Q to help him seek out Madeleine Swann the daughter of his old nemesis Mr White who may hold the clue to untangling the web of SPECTRE
26,26,Jean,Renoir,As the daughter of the assassin she understands Bond in a way most others cannot. As Bond ventures towards the heart of SPECTRE he learns a chilling connection between himself and the enemy he seeks.
27,27,Carl,Theodor,After the events of Skyfall Bond has come out a troubled man. His mentor M is dead. MI6 is crumbling under a newer high-tech organization led by the mysterious Max Denbigh. 
28,28,King,Vidor,However while in Mexico City Bond finds an Italian hitman trying to bomb a major parade and stops him. 
29,29,Andrzej,Wajda,Bond is back. He is in Mexico pursuing a hit man. He kills the man but not after making a scene. 
30,30,Costa-Gavras,Director,When he returns to England his boss M is not happy because a government man known as C is trying to shut down the 00 network and replace it with a new surveillance system which will essentially
31,31,Robert,Altman, Bond reveals to Moneypenny why he was in Mexico. He asks her to help him by getting some info on certain people. He asks Q to make sure no one knows he left the UK and went to Italy to talk to the hit man's wife. After talking to her he goes to a meeting of an organization and when he's discovered they try to kill him but he escapes
32,24,Milos,Forman,After the death of his beloved boss M Bond receives a posthumous message which sends him on the hunt for a deadly assassin.
33,25,Oliver,Stone,David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.
34,26,Preston,Sturges,But then a mysterious symbol appears on a ring which sends Bond on a personal vendetta which started in Mexico City. He comes across the widow of his target who gives him information regarding a sinister organization known only as SPECTRE. Bond's trail leads him to a conversation with an old nemesis while retrieving information on his daughter Dr Madeleine Swann who might hold some crucial information to cracking SPECTRE's secrets. 
35,27,Takeshi,Kitano, Nick Fury believes this is an act of war against Earth. His only hope is to assemble an actual team of super heroes. Dr. Bruce Banner who turns into an enormous green rage monster known as the Hulk. Tony Stark and his venerable Iron Man armor
36,28,Ridley,Scott,Captain America the Stark Enterprises created super soldier. Thor the god of thunder protector of Earth and his home planet of Asgard and Loki's brother. Master assassins Hawkeye and Natasha Romanoff.
37,29,David,Lean,When the mysterious and unpredictable power source called the Tesseract is stolen by Loki from S.H.I.E.L.D. agents to rule the entire world the Avengers have to unite and stop Loki and his infinite wrath
38,30,Michael,Curtiz,The S.H.I.E.L.D. head named Nick Fury tries to gather these mighty heroes and prepares them for a mighty battle.
39,39,Jim,Sheridan,When Loki returns and threatens to steal the Tesseract and use it to take over the world Nick Fury must form a team of elite agents and superheros 
40,40,Spike,Jonze,featuring Iron Man Captain America Thor the Hulk Agent Natasha Romanoff and Agent Barton - to save New York.
